name,rating,country,category,price,abv,age,brand,time_data
Glenfiddich 12 Year Old Single Malt Scotch,96,Scotland,Speyside,43,40,12,Glenfiddich,01-01-1995 00:00:00
Oban 15 Year Old Single Malt Scotch,96,Scotland,Highlands,89,43,15,Oban,01-01-1995 00:00:00
Old Pulteney 30 Year Old Single Malt Scotch,96,Scotland,Highlands,400,44,30,Old Pulteney,01-01-1995 00:00:00
Tomatin 18 Year Old Single Malt Scotch,96,Scotland,Speyside,62,46,18,Tomatin,01-01-1995 00:00:00
Glengoyne 17 Year Old Single Malt Scotch,96,Scotland,Highlands,73,43,17,Glengoyne,01-01-1995 00:00:00
Aberfeldy 12 Year Old Single Malt Scotch,96,Scotland,Highlands,30,40,12,Aberfeldy,01-01-1995 00:00:00
Buchanan's 18 Year Old Special Reserve Scotch,96,Scotland,Blended,79,43,18,Buchanan,01-01-1995 00:00:00
Bunnahabhain 12 Year Old Single Malt Scotch,96,Scotland,Islay,43,46.3,12,Bunnahabhain,01-01-1995 00:00:00
Buchanan's Master Blended Scotch,96,Scotland,Blended,54,40,,Buchanan,01-01-1995 00:00:00
Lagavulin 12 Year Old Single Malt Scotch,96,Scotland,Islay,90,57.8,12,Lagavulin,01-01-1995 00:00:00
Tomatin 15 Year Old Single Malt Scotch,96,Scotland,Speyside,48,43,15,Tomatin,01-01-1995 00:00:00
Glenmorangie 25 Year Old Single Malt Scotch,96,Scotland,Highlands,580,43,25,Glenmorangie,01-01-1995 00:00:00
Haig Supreme Blended Scotch,96,Scotland,Blended,25,40,,Haig,01-01-1995 00:00:00
Kingdom 12 Year Old Scotch,96,Scotland,Blended,30,40,12,Kingdom,01-01-1995 00:00:00
William Larue Weller Bourbon,96,USA,Bourbon,65,65,,William Larue Weller,01-01-1995 00:00:00
Redbreast 12 Year Old Irish Whiskey,96,Ireland,Pure Pot Still,40,40,12,Redbreast,01-01-1995 00:00:00
Glenlivet Nadurra 16 Year Old Cask Strength Single Malt Scotch Whisky,96,Scotland,Speyside,65,48,16,Glenlivet,01-01-1995 00:00:00
Chivas Regal 18 Year Old Blended Scotch Whisky,96,Scotland,Blended,64,40,18,Chivas Regal,01-01-1995 00:00:00
Hudson Baby Bourbon,96,USA,Bourbon,40,46,,Hudson,01-01-1995 00:00:00
Glenlivet 21 Year Old Single Malt Scotch,97,Scotland,Speyside,123,40,21,Glenlivet,01-01-1995 00:00:00
Powers 12 Year Old Irish Whiskey,99,Ireland,Blended,35,40,12,Powers,01-01-1995 00:00:00
Suntory The Yamazaki 18 Year Old Single Malt Whiskey,99,Japan,Single Malt,120,43,18,Suntory,01-01-1995 00:00:00
Glenmorangie 10 Year Old Single Malt Scotch Whisky,99,Scotland,Highlands,42,40,10,Glenmorangie,01-01-1995 00:00:00
Glenmorangie Single Malt Scotch,99,Scotland,Highlands,80,46,10,Glenmorangie,01-01-1995 00:00:00
Bunnahabhain 18 Year Old Single Malt Scotch,99,Scotland,Islay,92,46.3,18,Bunnahabhain,01-01-1995 00:00:00
Laphroaig 18 Year Old Single Malt Scotch,99,Scotland,Islay,107,48,18,Laphroaig,01-01-1995 00:00:00
Cardhu 12 Year Old Single Malt Scotch,99,Scotland,Highlands,45,40,12,Cardhu,01-01-1995 00:00:00
Aberlour 18 Year Old Single Malt Scotch,99,Scotland,Speyside,100,43,18,Aberlour,01-01-1995 00:00:00
Balvenie 14 Year Old Single Malt Scotch,99,Scotland,Speyside,60,43,14,Balvenie,01-01-1995 00:00:00
Caol Ila Single Malt Scotch Distillers Edition,99,Scotland,Islay,70,43,,Caol Ila,01-01-1995 00:00:00
Kingdom 17 Year Old Scotch,99,Scotland,Blended,50,40,17,Kingdom,01-01-1995 00:00:00
Balvenie 12 Year Old Doublewood Single Malt Scotch,99,Scotland,Speyside,45,40,12,Balvenie,01-01-1995 00:00:00
Glen Garioch Founders Reserve Scotch,99,Scotland,Highlands,45,48,,Glen Garioch,01-01-1995 00:00:00
Bowmore 15 Year Old Single Malt Scotch,99,Scotland,Islay,70,43,15,Bowmore,01-01-1995 00:00:00
Rebel Yell Kentucky Straight Bourbon Whiskey,99,USA,Bourbon,11,40,,Rebel Yell,01-01-1995 00:00:00
Pappy Van Winkle 15 Year Old Family Reserve Whiskey,99,USA,Bourbon,58,53.5,15,Pappy Van Winkle,01-01-1995 00:00:00
Thomas H. Handy Kentucky Straight Rye Whiskey,99,USA,Rye,67,66.4,6,Thomas H. Handy,01-01-1995 00:00:00
Ardbeg Uigeadail,99,Scotland,Islay,80,54.2,,Ardbeg,01-01-1995 00:00:00
Noah's Mill Bourbon,99,USA,Bourbon,60,57.15,,Noah's Mill,01-01-1995 00:00:00
Parker's Heritage Bourbon,99,USA,Bourbon,80,62,15,Parker's Heritage,01-01-1995 00:00:00
Tyrconnell 10 Year Old Single Malt Madeira Cask Finish Irish Whiskey,100,Ireland,Single Malt,72,46,10,Tyrconnell,01-01-1995 00:00:00
Dalmore 18 Year Old Single Highland Malt Scotch Whisky,100,Scotland,Highlands,165,43,18,Dalmore,01-01-1995 00:00:00
Suntory Whiskey Hibiki,,Japan,Blended,92,43,12,Suntory,01-01-1995 00:00:00
McAdams Canadian Whisky,,Canada,Blended,8,,,McAdams,01-01-1995 00:00:00
Texas Crown Club Canadian Whisky,,Canada,Blended,22,,4,Texas Crown,01-01-1995 00:00:00
Bunnahabhain 25,,Scotland,Islay,292,46.3,25,Bunnahabhain,01-01-1995 00:00:00
Glenlivet 18 Year Old Single Malt Scotch,,Scotland,Speyside,69,57,18,Glenlivet,01-01-1995 00:00:00
Bell's Scotch Whisky,,Scotland,Blended,,43,,Bell's,01-01-1995 00:00:00
Glengoyne 10 Year Old Single Malt Scotch,,Scotland,Highlands,,,10,Glengoyne,01-01-1995 00:00:00
The Tweeddale Blend,,Scotland,Blended,30,46,12,Tweeddale,01-01-1995 00:00:00
A.H. Hirsch Finest Reserve 20 Bourbon,,USA,Bourbon,280,45,16,A.H. Hirsch,01-01-1995 00:00:00
Elijah Craig 18 Year Bourbon,,USA,Bourbon,40,45,18,Elijah Craig,01-01-1995 00:00:00
Kavalan Solist Vinho Single Malt Whisky,,Taiwan,Single Malt,100,59.2,,Kavalan,01-01-1995 00:00:00
Knob Creek,,USA,Bourbon,40,45,18,Knob Creek,01-01-1995 00:00:00
