name|rating|country|category|price|abv|age|brand|time_data|row_num|id|mean_age|mean_abv|mean_price
Johnnie Walker Black Label Scotch Whisky|70|Scotland|Blended|45|43|12|Johnnie Walker|1995-01-01  00:00:00|33|efdbedf7-c28c-45e0-b218-0a295c355f9c|14.36|44.61|72.37
Tullamore Dew Irish Whiskey|70|Ireland|Blended|26|40||Tullamore|1995-01-01  00:00:00|34|49a9db6b-8815-4850-999f-71c21bbd2df6|14.36|44.61|72.37
Canadian Club Sherry Cask Canadian Whisky|71|Canada|Blended|27|40|8|Canadian Club|1995-01-01  00:00:00|35|7a2f02c4-8cd0-401d-9483-f795afe367bd|14.36|44.61|72.37
Greenore 8 Year Old Single Grain Irish Whiskey|71|Ireland|Grain|50|43|8|Greenore|1995-01-01  00:00:00|36|904c3cdd-cac1-41ea-98ee-5b847a303329|14.36|44.61|72.37
Ardmore Traditional Cask Highland Single Malt Scotch Whisky|72|Scotland|Speyside|48|46|30|Ardmore|1995-01-01  00:00:00|37|5147c461-3c77-44e0-a605-87ca260dfc14|14.36|44.61|72.37
Jameson 18 Year Old Limited Reserve Irish Whiskey|73|Ireland|Blended|84|40|18|Jameson|1995-01-01  00:00:00|38|fb57337c-642a-4a03-90f6-a202f7ae6407|14.36|44.61|72.37
Connemara 12 Year Old Peated Single Malt Irish Whiskey|73|Ireland|Single Malt|90|40|12|Connemara|1995-01-01  00:00:00|39|65fd60a9-8c86-4d5f-93ab-0d56dac6a04b|14.36|44.61|72.37
Bushmills 1608 Irish Whiskey Limited Edition|74|Ireland|Blended|90|46||Bushmills|1995-01-01  00:00:00|40|69f773df-f9c0-442e-bc78-d10a75394159|14.36|44.61|72.37
Michael Collins Single Malt Irish Whiskey|74|Ireland|Single Malt|40|40|10|Wiser's|1995-01-01  00:00:00|41|b95c94b1-f60a-41ad-abb4-b9da94e6aba4|14.36|44.61|72.37
Wiser's Legacy Canadian Whisky|74|Canada|Blended|50|45||Wiser's|1995-01-01  00:00:00|42|9516ba79-3897-43ad-9305-4cdb57a79362|14.36|44.61|72.37
Whyte & Mackay Old Luxury 19 Year Old Aged Blended Scotch Whisky|74|Scotland|Blended|58|40|19|Whyte & Mackay|1995-01-01  00:00:00|43|15549d1b-e169-4120-b347-aaa6893d7bac|14.36|44.61|72.37
